novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
天虚道缈,东方有木,http://book.zongheng.com/book/709102.html,连载中,71378,修真,4,47,47
邪神本记,老贝,http://book.zongheng.com/book/706883.html,连载中,120010,仙侠,11,138,107
奇葩快递,雨中愁,http://book.zongheng.com/book/704170.html,连载中,42191,异术,0,80,36
李白穿梭时空到现代,零点零七秒,http://book.zongheng.com/book/710163.html,连载中,16230,重生,1,48,48
魔夜刀,余不愚,http://book.zongheng.com/book/670676.html,连载中,480890,修真,32,3234,404
穿越驭兽通灵师,故国魂,http://book.zongheng.com/book/701202.html,连载中,378660,异世,8,357,206
大雨时行,我有一笔从古断今,http://book.zongheng.com/book/710244.html,连载中,43263,争霸,1,34,34
诸法如是,木刀拓石,http://book.zongheng.com/book/707990.html,连载中,48224,仙侠,9,120,117
夜述一奇闻,茅庐布衣,http://book.zongheng.com/book/712580.html,连载中,16065,惊悚,0,0,0
都市无上仙尊,纸花船,http://book.zongheng.com/book/672120.html,连载中,1491649,都市,4173,4713447,2161268
都市修仙之善良的界主,全装会员,http://book.zongheng.com/book/711185.html,连载中,15301,异术,1,24,24
火影传奇之旅,陪我想当初,http://book.zongheng.com/book/711645.html,连载中,32526,同人,15,45,45
玄天圣主,沐流清,http://book.zongheng.com/book/674394.html,连载中,712338,争霸,317,26715,9062
凌仙神尊,十七小少,http://book.zongheng.com/book/700179.html,连载中,247884,玄幻,2334,103036,9998
永世帝唐,清风逸之,http://book.zongheng.com/book/709309.html,连载中,96738,历史,12,218,217
大汉天子与御葬林,栗子熟了,http://book.zongheng.com/book/693407.html,连载中,90936,修真,4,413,144
宫妖传,十二妃,http://book.zongheng.com/book/646955.html,连载中,1443480,玄幻,89,9339,211
亡灵机甲,一意尘虚,http://book.zongheng.com/book/656768.html,连载中,1392002,奇幻,585,22296,6805
冷璃歌,言三木,http://book.zongheng.com/book/712479.html,连载中,7236,架空,0,0,0
故宫基因,十二妃,http://book.zongheng.com/book/552125.html,连载中,1460030,玄幻,145,14805,136
暗流争渡,阳子下,http://book.zongheng.com/book/710241.html,连载中,38397,江湖,5,61,60
超体进化,荆轲剃腿毛,http://book.zongheng.com/book/659991.html,连载中,458788,末世,122,7172,2076
犯罪思维,四维思维,http://book.zongheng.com/book/710630.html,连载中,32633,推理,13,42,42
,掘金小矿工,http://chuangshi.qq.com/bk/xh/15715990.html,连载中,1021498,玄幻,1971,13967,16
仙剑掌门,剑宗童子,http://chuangshi.qq.com/bk/xx/14209121.html,连载中,453044,仙侠,4019,23886,20
捉鬼之天道卡牌,姬昊,http://chuangshi.qq.com/bk/ly/20759446.html,连载中,10336,灵异,4,40,12
圣痕：神罗天征,合金冬菇,http://chuangshi.qq.com/bk/kh/15786482.html,连载中,1222869,科幻,8909,26575,20
玩够了没有,蓝冰棍,http://chuangshi.qq.com/bk/qc/14050093.html,连载中,3026,现实,232,2324,8
霸道大神：老婆别跑,林墨依,http://chuangshi.qq.com/bk/dp/15881062.html,连载中,85107,短篇,514,2643,12
诡故事会,郭往,http://chuangshi.qq.com/bk/ly/19537094.html,连载中,477803,灵异,5574,18738,176
我的三千克隆体,赵天佑,http://chuangshi.qq.com/bk/kh/20651354.html,连载中,105800,科幻,189,1697,12
幻世新辰,象牙犀牛,http://chuangshi.qq.com/bk/xh/20137194.html,连载中,5260,玄幻,48,478,4
神狱之尊,千-百-度,http://chuangshi.qq.com/bk/xh/15179894.html,连载中,1183415,玄幻,13594,29008,264
封仙骨,后笏,http://chuangshi.qq.com/bk/xh/15788504.html,连载中,313045,玄幻,2000,4504,8
圣天炎神,鬼狐寒风,http://chuangshi.qq.com/bk/xh/20009447.html,连载中,192618,玄幻,839,5594,8
女鬼债主老婆,雷光拨动,http://chuangshi.qq.com/bk/ly/20515905.html,连载中,295410,灵异,279,2794,8
典当天地,一不鸣,http://chuangshi.qq.com/bk/ds/20701201.html,连载中,119372,都市,292,2917,64
重生西游之逆天系统,破锋八刀,http://chuangshi.qq.com/bk/xx/17097684.html,连载中,1167897,仙侠,13915,83243,52
阿雷加斯,白小狐狸,http://chuangshi.qq.com/bk/kh/20743372.html,连载中,12962,科幻,23,234,8
月影寂,笑九寒,http://chuangshi.qq.com/bk/xh/20533827.html,连载中,16433,玄幻,61,308,4
末世纹身师,沙含影,http://chuangshi.qq.com/bk/kh/20604915.html,连载中,100659,科幻,322,3223,56
龙魂特种兵,东方小少,http://chuangshi.qq.com/bk/js/13804290.html,连载中,4533972,军事,77197,245256,260
斩邪问道,底虚,http://chuangshi.qq.com/bk/xx/19272285.html,连载中,1216753,仙侠,50400,28739,300
阴灵尸王,苗夫,http://chuangshi.qq.com/bk/ly/17382667.html,连载中,843602,灵异,8929,26903,452
最强修仙狂医,常安乐,http://chuangshi.qq.com/bk/ds/20707127.html,连载中,75009,都市,187,1768,120
